,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"NHANDEARA, SP","72,74285","43,61445","54,1381","91,69656","141,0166","92,99999","66,10635","48,10628","69,23624","121,3856","109,5454","83,4854","36,20213","64,14767","80,20925","109,9566","129,211","58,63306","50,5539","154,2944","11,10828","19,24756","33,7428","85,65267","75,39008","93,45554","96,26836","83,25225","68,10845","92,13999","122,8122","53,22575","71,07881","489,2086","14,77467","62,84271","20,10124","113,2464","86,24872","72,40398","40,03873","100,7285","79,6499","57,08488","60,85144","18,32511","35,3717","45,25449",,"36,40179","66,7731","100,5651","77,29955","121,3789","120,5645","78,28645","91,6462","84,23134","71,88704","135,7861","81,27138","136,3275","86,71456","43,31212","99,45371","49,81601","225,804","149,8807","39,40283","25,49695","57,65333","66,63647","98,04783","79,28598","87,43107","115,5894","91,09643","142,0339","102,5629","113,877","106,8827","92,78611","102,5622","83,95546","77,76426","48,94727","38,19465","69,98682","12,90045","109,0473","41,213","102,2598","84,31655","61,9346","94,84898","26,02336","80,36022","96,05594","30,45529","71,89726","30,63221","39,65577"
"NIPOA, SP","38,41485","66,92478","68,14531","125,7055","107,1645","129,3818","34,05951","28,56695","93,20064","87,45631","76,50621","52,98332","47,88508","99,3308","116,2061","74,94575","98,24244","94,77499","85,30047","120,0017","46,23471","44,75164","67,23957","59,04385","109,6522","58,84925","87,64277","116,2043","49,56758","55,82683","86,86616","21,87414","107,4806","452,8082","22,57976","95,32215","55,20281","77,37579","120,6338","36,52841","74,13977","136,6017","109,7278","30,3047","46,61608","33,82596","18,15577","16,79472","36,40179",,"31,40154","134,9974","63,6601","89,92932","84,27296","60,70303","92,40796","118,4323","68,30098","103,2098","116,2123","104,936","122,9123","71,6847","105,4681","81,16066","189,4097","117,5964","20,53805","14,75576","93,51696","81,12984","133,3755","44,36535","103,6515","151,406","55,67176","107,5337","138,9045","150,1229","142,7154","128,7805","138,8444","120,2426","113,4905","85,33397","74,30809","42,94699","31,90357","77,79876","34,47283","138,0802","119,7752","28,54921","63,37049","12,73634","116,7163","59,93798","62,98197","108,056","57,57798","32,26478"
"NOVA ALIANCA, SP","28,63147","88,10975","83,25326","157,0857","75,92172","159,4798","11,91967","32,38426","112,3261","56,25231","45,90355","26,85064","66,14906","130,4895","144,8575","43,54847","68,79483","123,8687","112,8754","88,63368","77,16764","76,08963","98,58516","37,37513","136,2379","27,53276","81,05191","141,3918","41,37238","30,4987","56,10046","16,4593","137,4037","423,3448","53,79662","120,6661","86,23871","46,5088","151,9755","20,36414","101,5077","164,8934","132,6207","22,41133","44,62033","64,98416","35,6417","23,94811","66,7731","31,40154",,"166,3425","56,52205","60,2765","57,50421","49,99421","93,64822","144,801","69,76078","72,58152","147,4543","75,05932","151,924","95,42741","109,7268","106,2289","160,5656","87,02272","44,7652","41,83777","124,3748","94,67005","160,8733","13,03119","116,2169","182,3219","36,0345","76,14585","168,2775","180,585","173,618","159,555","169,2428","150,6452","144,4452","115,1559","104,9654","25,67039","59,39388","48,67162","46,17945","168,9896","147,5837","27,97447","34,74283","44,02473","146,9452","29,7199","89,85084","137,0751","81,9712","57,65538"
"NOVA CANAA PAULISTA, SP","165,0722","108,7999","126,9625","9,863615","241,4792","34,1194","166,6337","147,6694","113,2749","221,8042","210,0904","183,9697","122,5231","36,73996","54,03543","209,8729","229,5505","58,46702","73,81182","254,6403","89,62796","90,99011","67,76006","185,2282","72,5945","193,5668","182,8878","82,1822","165,4316","188,0862","221,6258","153,7153","43,72761","583,8992","112,5562","83,22044","80,51599","212,2305","14,36788","167,6257","81,05062","57,93064","96,00659","157,4458","156,9715","102,4517","135,7299","145,8042","100,5651","134,9974","166,3425",,"170,7962","221,8397","215,6028","174,1472","168,393","73,69324","158,2644","236,3458","19,68836","236,7345","49,19637","98,02017","166,5836","88,83224","320,7314","250,4072","128,1265","126,0289","44,71184","131,9952","65,31463","179,189","139,8356","24,44506","184,0704","242,281","45,53932","32,55647","19,67769","21,5341","29,46614","31,30692","26,42881","59,42834","63,69553","170,0763","111,0577","209,516","137,7428","17,96468","61,64345","154,3709","195,3843","122,614","35,37801","194,6107","90,05854","52,74455","101,9713","118,9394"
"NOVA GRANADA, SP","84,69111","65,95714","50,78463","163,2321","90,7912","152,8858","44,64919","35,14789","79,95427","75,49322","63,11382","41,09052","48,30968","134,5219","132,8026","73,31569","70,46369","116,0233","101,1356","104,2756","87,61877","95,35804","109,375","30,60185","118,0476","61,07509","24,87295","118,6416","15,3956","82,9927","90,22782","46,81621","131,8103","448,4763","73,78225","101,0354","95,37804","82,37632","157,2495","76,82815","91,29911","149,7214","105,2004","36,67442","17,45246","88,37963","47,85794","47,51228","77,29955","63,6601","56,52205","170,7962",,"65,75086","103,7622","8,405752","39,17967","125,0205","19,95645","81,20212","151,1578","77,66724","140,6816","76,88547","56,54115","88,46026","193,2616","92,2213","84,19814","58,61141","126,1182","55,88234","143,1932","56,91799","72,05785","180,0357","91,34548","94,87643","157,3457","174,8464","171,6994","157,4548","163,7797","146,581","145,0678","111,8023","107,8572","31,44757","64,45702","56,15431","36,16799","167,4156","132,1428","81,05321","48,6071","71,97151","142,1327","74,02692","81,01973","127,3212","69,2246","95,42924"
"NOVAIS, SP","79,96147","127,2703","114,8155","213,0682","25,19244","210,0258","56,06793","74,64579","144,9247","16,32108","15,68624","37,89402","106,0669","185,2139","192,1994","27,69211","8,568337",173,"159,547","38,52708","132,4319","134,1473","154,8933","38,67303","179,6852","35,0025","77,87749","181,8737","61,45908","60,00972","38,1391","68,91846","188,0235","382,7648","110,778","162,8009","141,48","36,57795","207,5682","71,74745","148,5813","210,7418","169,5177","64,39976","70,51201","123,6345","86,11","76,43549","121,3789","89,92932","60,2765","221,8397","65,75086",,"61,21034","58,05567","100,5696","187,3776","85,68822","15,66195","202,3821","15,03269","199,8605","137,3121","117,987","149,0751","129,3295","28,71289","105,0412","96,10879","178,0291","121,4232","205,088","47,9417","137,5198","235,2552","71,5801","29,9657","216,6556","231,8651","226,6048","212,2533","220,5041","202,2782","198,0704","166,2629","158,5134","52,06069","110,9369","12,3319","86,56875","222,066","192,9807","85,01932","26,68303","102,5932","198,1482","45,14546","137,0791","185,5285","126,5035","117,9169"
"NOVO HORIZONTE, SP","50,62079","145,6123","139,974","205,9162","54,60861","213,2796","65,29997","89,24878","169,5563","45,33833","49,40321","62,69929","123,5977","181,5494","200,456","35,21738","67,05271","179,0479","169,1722","59,91117","129,7913","125,0078","148,9476","74,27331","193,065","42,77729","124,7125","198,6524","91,31686","28,44712","24,16674","73,95405","191,5469","369,0749","106,1792","177,8443","138,4185","25,13384","201,4498","48,43725","157,8757","220,8011","190,1227","78,1149","97,63374","113,5737","92,91298","81,32323","120,5645","84,27296","57,50421","215,6028","103,7622","61,21034",,"95,54179","142,9406","201,729","121,3187","60,73241","197,8388","68,23921","207,1848","152,8117","160,2468","163,4257","105,5178","70,99091","87,47781","97,49932","176,6394","150,6797","217,3074","49,32539","171,348","233,9924","31,85519","49,90222","223,1273","233,5817","225,3859","211,821","222,4226","203,8859","196,2245","169,499","157,9185","74,31529","115,3748","59,05258","103,3436","220,7602","203,8127","61,23228","57,42692","95,04882","200,5453","30,16685","146,3946","192,3289","139,1898","97,44682"
"ONDA VERDE, SP","78,49228","71,43581","57,30045","166,2995","82,95095","157,5641","38,07797","32,92852","87,04007","67,27853","54,81253","32,8426","52,3074","137,6241","138,0096","64,90995","63,18333","120,5123","105,9323","96,52825","88,96613","95,61246","111,1701","22,20004","123,8753","52,80457","31,15587","125,014","11,17108","75,36413","81,82221","42,05356","136,1802","440,8129","73,19848","106,853","97,12329","73,98675","160,3911","70,35738","95,71333","155,4332","111,9884","31,85149","17,50254","87,82986","46,41411","44,05582","78,28645","60,70303","49,99421","174,1472","8,405752","58,05567","95,54179",,"47,43153","131,0994","28,02621","73,61681","154,4643","70,47776","145,8525","82,14002","64,8688","93,84757","185,0233","85,07765","81,12004","57,5798","129,4391","63,36752","149,1578","49,29638","80,21417","184,3336","84,08403","86,87721","162,5951","179,5551","175,9018","161,5863","168,388","150,885","148,7385","115,6294","110,7538","24,42005","65,67482","48,07981","37,2533","171,5463","137,7611","75,65006","40,20425","70,12075","146,4967","65,93857","85,00026","132,1857","73,41907","92,88507"
"ORINDIUVA, SP","120,5963","60,25435","42,2527","162,5198","125,6766","143,973","82,15553","65,69593","59,94482","112,4877","100,7484","80,25583","55,51332","134,8361","121,7015","111,9188","103,4859","110,09","94,62221","138,4977","99,39318","110,8794","117,4007","69,29888","103,909","100,2314","23,85869","100,7974","52,76807","121,6379","128,7673","81,09454","125,586","480,6734","94,30623","88,22677","104,7244","121,2483","156,3778","113,4473","87,95116","134,7844","85,1815","71,87226","49,31758","107,4771","74,34504","78,9893","91,6462","92,40796","93,64822","168,393","39,17967","100,5696","142,9406","47,43153",,"108,8237","24,47751","115,1353","149,6851","110,0649","129,4189","70,55233","17,62819","79,70981","229,7689","123,9676","111,9234","82,35792","125,7819","36,82554","126,9024","95,67029","41,11929","172,3435","129,3502","130,487","144,9506","165,0208","164,7746","151,3986","154,8679","140,0162","141,9697","109,7769","110,8501","69,88678","79,65127","92,7853","58,27348","161,0157","118,5528","115,1938","87,18834","96,80587","135,4333","113,1762","81,29112","118,5357","70,2515","120,9103"
"OUROESTE, SP","156,3789","60,10748","74,34601","72,62381","210,8901","40,9907","139,8127","115,9216","48,88065","192,5579","179,6852","152,3903","81,73033","56,93431","19,87131","184,3592","193,56","31,62724","33,70545","224,6983","78,46829","89,98711","71,69127","148,7167","8,841883","167,9749","128,6169","8,998463","125,9552","173,4808","199,5313","128,7333","34,68572","566,9903","98,88902","24,65186","72,84548","189,9999","67,60159","154,923","44,40808","25,97606","24,88456","127,5556","116,877","98,3726","109,1706","120,8805","84,23134","118,4323","144,801","73,69324","125,0205","187,3776","201,729","131,0994","108,8237",,"107,3785","202,9948","61,35221","200,9523","24,91095","50,38937","101,9413","38,8744","305,1869","215,5221","123,4216","104,4144","51,09925","72,96163","18,31474","155,4976","72,47705","68,13032","174,1034","213,5341","37,22026","58,72626","62,34137","52,43487","50,48121","42,61126","52,15286","42,78763","56,7333","137,1592","86,61898","175,8731","102,2235","59,88958","12,17314","145,7782","163,6774","109,9443","39,11679","174,35","55,47561","24,66707","62,96166","121,1126"
