Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
353780;6274;22,54%;1415;DRS 16
353790;3219;22,04%;710;DRS 16
353800;19025;21,69%;4127;DRS 17
353810;1890;22,58%;427;DRS 15
353820;1942;24,84%;483;DRS 7
353830;485;25,78%;126;DRS 11
353850;1830;26,37%;483;DRS 17
353860;3287;23,60%;776;DRS 7
353870;46615;22,24%;10368;DRS 10
353880;3847;24,93%;960;DRS 6
353890;2790;24,57%;686;DRS 6
353900;1412;24,85%;351;DRS 15
353910;1662;16,95%;282;DRS 1
353920;3331;23,57%;786;DRS 11
353930;9382;23,82%;2235;DRS 10
353940;1660;23,45%;390;DRS 6
353950;3459;17,47%;605;DRS 13
353960;504;19,83%;100;DRS 15
353970;354;20,52%;73;DRS 9
353980;12937;20,90%;2704;DRS 1
353990;623;20,49%;128;DRS 15
354000;2703;23,71%;641;DRS 9
354010;482;29,39%;142;DRS 6
354020;3375;14,41%;487;DRS 13
354025;463;21,02%;98;DRS 15
354030;310;24,88%;78;DRS 15
354040;535;26,32%;141;DRS 15
354050;1259;25,07%;316;DRS 6
354060;5815;21,95%;1277;DRS 16
354070;6425;22,47%;1444;DRS 3
354075;1797;18,29%;329;DRS 17
354080;2015;23,21%;468;DRS 15
354085;112;19,75%;23;DRS 9
354090;2037;18,96%;387;DRS 13
354100;39488;22,49%;8881;DRS 4
354105;457;17,46%;80;DRS 6
354110;486;23,21%;113;DRS 6
354120;1916;27,89%;535;DRS 11
354130;5330;23,28%;1241;DRS 11
354140;29683;24,71%;7335;DRS 11
354150;5223;26,42%;1380;DRS 11
354160;4292;20,77%;892;DRS 6
354165;392;21,50%;85;DRS 16
354170;1501;21,23%;319;DRS 11
354180;284;16,77%;48;DRS 9
354190;1204;18,60%;224;DRS 17
354200;769;22,28%;172;DRS 9
354210;989;21,26%;211;DRS 10
354220;3752;24,80%;931;DRS 11
354230;404;21,46%;87;DRS 17
354240;2532;24,55%;622;DRS 11
354250;605;22,02%;134;DRS 6
354260;6357;21,97%;1397;DRS 12
354270;723;18,51%;134;DRS 8
354280;335;20,96%;71;DRS 16
354290;1287;19,37%;250;DRS 3
354300;1444;18,51%;268;DRS 16
354310;417;18,08%;76;DRS 8
354320;557;24,37%;136;DRS 9
354323;324;28,20%;92;DRS 11
354325;764;20,41%;156;DRS 16
354330;15141;23,64%;3580;DRS 1
354340;81488;21,91%;17855;DRS 13
354350;671;24,76%;167;DRS 16
354360;484;26,12%;127;DRS 8
354370;1096;20,52%;225;DRS 3
354380;1214;24,82%;302;DRS 9
354390;24153;22,54%;5445;DRS 10
354400;3282;18,40%;604;DRS 10
354410;4922;18,90%;931;DRS 1
354420;980;17,76%;175;DRS 15
354425;2234;27,23%;609;DRS 11
354430;1176;21,71%;256;DRS 17
354440;310;20,22%;63;DRS 2
354450;487;30,84%;151;DRS 15
354460;690;24,86%;172;DRS 6
354470;292;23,90%;70;DRS 9
354480;825;26,37%;218;DRS 15
354490;1419;23,13%;329;DRS 8
354500;1828;21,53%;394;DRS 1
354510;547;21,43%;118;DRS 9
354515;978;22,84%;224;DRS 10
354520;14128;23,03%;3254;DRS 16
354530;5117;22,12%;1132;DRS 16
354540;1111;23,43%;261;DRS 9
354550;446;21,31%;96;DRS 11
354560;1749;22,42%;393;DRS 15
354570;731;25,22%;185;DRS 15
354580;24334;24,66%;6001;DRS 7
354600;1793;23,91%;429;DRS 17
354610;283;28,44%;81;DRS 15
354620;580;24,77%;144;DRS 10
354625;254;22,84%;59;DRS 13
354630;3240;19,02%;617;DRS 14
354640;5587;22,75%;1272;DRS 9
354650;573;19,97%;115;DRS 3
354660;4340;25,69%;1115;DRS 15
354670;2149;15,71%;338;DRS 10
354680;6442;22,01%;1418;DRS 1
354690;846;18,67%;158;DRS 3
354700;596;19,04%;114;DRS 10
354710;322;22,38%;73;DRS 11
354720;212;30,72%;66;DRS 15
354730;15080;20,44%;3083;DRS 1
354740;363;28,99%;106;DRS 15
354750;3765;26,51%;999;DRS 13
