Código,Cidade,DRS
354650,SANTA ERNESTINA,DRS 3
354660,SANTA FE DO SUL,DRS 15
354670,SANTA GERTRUDES,DRS 10
354680,SANTA ISABEL,DRS 1
354690,SANTA LUCIA,DRS 3
354700,SANTA MARIA DA SERRA,DRS 10
354710,SANTA MERCEDES,DRS 11
354720,SANTANA DA PONTE PENSA,DRS 15
354730,SANTANA DE PARNAIBA,DRS 1
354740,SANTA RITA D'OESTE,DRS 15
354750,SANTA RITA DO PASSA QUATRO,DRS 13
354760,SANTA ROSA DE VITERBO,DRS 13
354765,SANTA SALETE,DRS 15
354770,SANTO ANASTACIO,DRS 11
354780,SANTO ANDRE,DRS 1
354790,SANTO ANTONIO DA ALEGRIA,DRS 13
354800,SANTO ANTONIO DE POSSE,DRS 7
354805,SANTO ANTONIO DO ARACANGUA,DRS 2
354810,SANTO ANTONIO DO JARDIM,DRS 14
354820,SANTO ANTONIO DO PINHAL,DRS 17
354830,SANTO EXPEDITO,DRS 11
354840,SANTOPOLIS DO AGUAPEI,DRS 2
354850,SANTOS,DRS 4
354860,SAO BENTO DO SAPUCAI,DRS 17
354870,SAO BERNARDO DO CAMPO,DRS 1
354880,SAO CAETANO DO SUL,DRS 1
354890,SAO CARLOS,DRS 3
354900,SAO FRANCISCO,DRS 15
354910,SAO JOAO DA BOA VISTA,DRS 14
354920,SAO JOAO DAS DUAS PONTES,DRS 15
354925,SAO JOAO DE IRACEMA,DRS 15
354930,SAO JOAO DO PAU D'ALHO,DRS 11
354940,SAO JOAQUIM DA BARRA,DRS 8
354950,SAO JOSE DA BELA VISTA,DRS 8
354960,SAO JOSE DO BARREIRO,DRS 17
354970,SAO JOSE DO RIO PARDO,DRS 14
354980,SAO JOSE DO RIO PRETO,DRS 15
354990,SAO JOSE DOS CAMPOS,DRS 17
354995,SAO LOURENCO DA SERRA,DRS 1
355000,SAO LUIS DO PARAITINGA,DRS 17
355010,SAO MANUEL,DRS 6
355020,SAO MIGUEL ARCANJO,DRS 16
355030,SAO PAULO,DRS 1
355040,SAO PEDRO,DRS 10
355050,SAO PEDRO DO TURVO,DRS 9
355060,SAO ROQUE,DRS 16
355070,SAO SEBASTIAO,DRS 17
355080,SAO SEBASTIAO DA GRAMA,DRS 14
355090,SAO SIMAO,DRS 13
355100,SAO VICENTE,DRS 4
355110,SARAPUI,DRS 16
355120,SARUTAIA,DRS 6
355130,SEBASTIANOPOLIS DO SUL,DRS 15
355140,SERRA AZUL,DRS 13
355150,SERRANA,DRS 13
355160,SERRA NEGRA,DRS 7
355170,SERTAOZINHO,DRS 13
355180,SETE BARRAS,DRS 12
355190,SEVERINIA,DRS 5
355200,SILVEIRAS,DRS 17
355210,SOCORRO,DRS 7
355220,SOROCABA,DRS 16
355230,SUD MENNUCCI,DRS 2
355240,SUMARE,DRS 7
355250,SUZANO,DRS 1
355255,SUZANAPOLIS,DRS 2
355260,TABAPUA,DRS 15
355270,TABATINGA,DRS 3
355280,TABOAO DA SERRA,DRS 1
355290,TACIBA,DRS 11
355300,TAGUAI,DRS 6
355310,TAIACU,DRS 5
355320,TAIUVA,DRS 5
355330,TAMBAU,DRS 14
355340,TANABI,DRS 15
355350,TAPIRAI,DRS 16
355360,TAPIRATIBA,DRS 14
355365,TAQUARAL,DRS 5
355370,TAQUARITINGA,DRS 3
355380,TAQUARITUBA,DRS 6
355385,TAQUARIVAI,DRS 16
355390,TARABAI,DRS 11
355395,TARUMA,DRS 9
355400,TATUI,DRS 16
355410,TAUBATE,DRS 17
355420,TEJUPA,DRS 6
355430,TEODORO SAMPAIO,DRS 11
355440,TERRA ROXA,DRS 5
355450,TIETE,DRS 16
355460,TIMBURI,DRS 9
355465,TORRE DE PEDRA,DRS 6
355470,TORRINHA,DRS 6
355475,TRABIJU,DRS 3
355480,TREMEMBE,DRS 17
355490,TRES FRONTEIRAS,DRS 15
355495,TUIUTI,DRS 7
355500,TUPA,DRS 9
355510,TUPI PAULISTA,DRS 11
355520,TURIUBA,DRS 2
355530,TURMALINA,DRS 15
355535,UBARANA,DRS 15
355540,UBATUBA,DRS 17
355550,UBIRAJARA,DRS 9
355560,UCHOA,DRS 15
355570,UNIAO PAULISTA,DRS 15
355580,URANIA,DRS 15
355590,URU,DRS 6
355600,URUPES,DRS 15
355610,VALENTIM GENTIL,DRS 15
355620,VALINHOS,DRS 7
355630,VALPARAISO,DRS 2
355635,VARGEM,DRS 7
355640,VARGEM GRANDE DO SUL,DRS 14
355645,VARGEM GRANDE PAULISTA,DRS 1
355650,VARZEA PAULISTA,DRS 7
355660,VERA CRUZ,DRS 9
355670,VINHEDO,DRS 7
355680,VIRADOURO,DRS 5
355690,VISTA ALEGRE DO ALTO,DRS 5
355695,VITORIA BRASIL,DRS 15
355700,VOTORANTIM,DRS 16
355710,VOTUPORANGA,DRS 15
355715,ZACARIAS,DRS 15
355720,CHAVANTES,DRS 9
355730,ESTIVA GERBI,DRS 14
